original	replacement
tabstr2struct	vlt.datastructures.tabstr2struct
text2struct	vlt.datastructures.text2struct
uniq	vlt.datastructures.uniq
valid_varname	vlt.datastructures.valid_varname
var2struct	vlt.datastructures.var2struct
workspace2struct	vlt.datastructures.workspace2struct
cellstr2text	vlt.file.cellstr2text
checkout_lock_file	vlt.file.checkout_lock_file
combinepdf	vlt.file.combinepdf
addroirawdatafile	vlt.file.custom_file_formats.addroirawdatafile
addvhlspikewaveformfile	vlt.file.custom_file_formats.addvhlspikewaveformfile
convertvhlvdatafile2integer	vlt.file.custom_file_formats.convertvhlvdatafile2integer
newroirawdatafile	vlt.file.custom_file_formats.newroirawdatafile
newvhlspikewaveformfile	vlt.file.custom_file_formats.newvhlspikewaveformfile
readcellvoyagertiffheader	vlt.file.custom_file_formats.readcellvoyagertiffheader
readroirawdatafile	vlt.file.custom_file_formats.readroirawdatafile
readvhlspikewaveformfile	vlt.file.custom_file_formats.readvhlspikewaveformfile
readvhlvdatafile	vlt.file.custom_file_formats.readvhlvdatafile
readvhlvdatafile_orig	vlt.file.custom_file_formats.readvhlvdatafile_orig
readvhlvheaderfile	vlt.file.custom_file_formats.readvhlvheaderfile
vhsb_read	vlt.file.custom_file_formats.vhsb_read
vhsb_readheader	vlt.file.custom_file_formats.vhsb_readheader
vhsb_sampletype2matlabfwritestring	vlt.file.custom_file_formats.vhsb_sampletype2matlabfwritestring
vhsb_write	vlt.file.custom_file_formats.vhsb_write
vhsb_writeheader	vlt.file.custom_file_formats.vhsb_writeheader
writevhlvdatafile	vlt.file.custom_file_formats.writevhlvdatafile
writevhlvheaderfile	vlt.file.custom_file_formats.writevhlvheaderfile
writevhlvtestfile	vlt.file.custom_file_formats.writevhlvtestfile
dirlist_trimdots	vlt.file.dirlist_trimdots
dirstrip	vlt.file.dirstrip
drivepath	vlt.file.drivepath
dumbjsondb	vlt.file.dumbjsondb
filebackup	vlt.file.filebackup
filediff	vlt.file.filediff
fileid_value	vlt.file.fileid_value
filename_value	vlt.file.filename_value
filenamesearchreplace	vlt.file.filenamesearchreplace
fileobj	vlt.file.fileobj
filesepconversion	vlt.file.filesepconversion
findfilegroups	vlt.file.findfilegroups
findfiletype	vlt.file.findfiletype
fixpath	vlt.file.fixpath
fixtilde	vlt.file.fixtilde
fullfilename	vlt.file.fullfilename
getAllFiles	vlt.file.getAllFiles
isfilepathroot	vlt.file.isfilepathroot
isurl	vlt.file.isurl
linpath2mac	vlt.file.linpath2mac
load2celllist	vlt.file.load2celllist
loadIgor	vlt.file.loadIgor
loadStructArray	vlt.file.loadStructArray
read_tab_delimited_file	vlt.file.read_tab_delimited_file
readlabviewarray	vlt.file.readlabviewarray
readplainmat	vlt.file.readplainmat
reference_txt	vlt.file.reference_txt
release_lock_file	vlt.file.release_lock_file
rename_mfiles_functions	vlt.file.rename_mfiles_functions
saveStructArray	vlt.file.saveStructArray
saveasv73	vlt.file.saveasv73
searchreplacefiles_shell	vlt.file.searchreplacefiles_shell
str2text	vlt.file.str2text
string2filestring	vlt.file.string2filestring
testfile_freadnskip	vlt.file.testfiles.testfile_freadnskip
testfile_uint16_bin	vlt.file.testfiles.testfile_uint16_bin
text2cellnum	vlt.file.text2cellnum
text2cellstr	vlt.file.text2cellstr
textfile2char	vlt.file.textfile2char
read_CED_SOMSMR_datafile	vlt.file.thirdparty_file_formats.CED-SOM_SMR.read_CED_SOMSMR_datafile
read_CED_SOMSMR_header	vlt.file.thirdparty_file_formats.CED-SOM_SMR.read_CED_SOMSMR_header
read_CED_SOMSMR_sampleinterval	vlt.file.thirdparty_file_formats.CED-SOM_SMR.read_CED_SOMSMR_sampleinterval
Intan_RHD2000_blockinfo	vlt.file.thirdparty_file_formats.Intan-RHD2000.Intan_RHD2000_blockinfo
cat_Intan_RHD2000_files	vlt.file.thirdparty_file_formats.Intan-RHD2000.cat_Intan_RHD2000_files
concat_rhd_files	vlt.file.thirdparty_file_formats.Intan-RHD2000.concat_rhd_files
copy_Intan_RHD2000_blocks	vlt.file.thirdparty_file_formats.Intan-RHD2000.copy_Intan_RHD2000_blocks
read_Intan_RHD2000_datafile	vlt.file.thirdparty_file_formats.Intan-RHD2000.read_Intan_RHD2000_datafile
read_Intan_RHD2000_directory	vlt.file.thirdparty_file_formats.Intan-RHD2000.read_Intan_RHD2000_directory
read_Intan_RHD2000_header	vlt.file.thirdparty_file_formats.Intan-RHD2000.read_Intan_RHD2000_header
read_Willow_datafile	vlt.file.thirdparty_file_formats.LeafLabs-Willow.read_Willow_datafile
read_Willow_datafile_alt	vlt.file.thirdparty_file_formats.LeafLabs-Willow.read_Willow_datafile_alt
read_Willow_datafile_orig	vlt.file.thirdparty_file_formats.LeafLabs-Willow.read_Willow_datafile_orig
read_Willow_headerfile	vlt.file.thirdparty_file_formats.LeafLabs-Willow.read_Willow_headerfile
copy_SpikeGadgets_rec_files	vlt.file.thirdparty_file_formats.SpikeGadgets-REC.copy_SpikeGadgets_rec_files
read_SpikeGadgets_analogChannels	vlt.file.thirdparty_file_formats.SpikeGadgets-REC.read_SpikeGadgets_analogChannels
read_SpikeGadgets_config	vlt.file.thirdparty_file_formats.SpikeGadgets-REC.read_SpikeGadgets_config
read_SpikeGadgets_digitalChannels	vlt.file.thirdparty_file_formats.SpikeGadgets-REC.read_SpikeGadgets_digitalChannels
read_SpikeGadgets_trodeChannels	vlt.file.thirdparty_file_formats.SpikeGadgets-REC.read_SpikeGadgets_trodeChannels
bioformats2xml	vlt.file.thirdparty_file_formats.bioformats2xml
vcard2mat	vlt.file.vcard2mat
writelabviewarray	vlt.file.writelabviewarray
writeplainmat	vlt.file.writeplainmat
getXMLNodeText	vlt.file.xml.getXMLNodeText
parseXML	vlt.file.xml.parseXML
xml2struct_vhtools	vlt.file.xml.xml2struct_vhtools
xmlstringinput	vlt.file.xml.xmlstringinput
xmlstruct_attributename2struct	vlt.file.xml.xmlstruct_attributename2struct
xmlstruct_findnode	vlt.file.xml.xmlstruct_findnode
xmlstruct_stripwhitespace	vlt.file.xml.xmlstruct_stripwhitespace
double_gauss_DoG_fit	vlt.fits.double_gauss_DoG_fit
example_double_gauss_dog_data	vlt.fits.example_double_gauss_dog_data
exp_fit	vlt.fits.exp_fit
exp_fit_err	vlt.fits.exp_fit_err
fitsearchspace	vlt.fits.fitsearchspace
gaussfit	vlt.fits.gaussfit
gaussfit_conv	vlt.fits.gaussfit_conv
gaussfit_err	vlt.fits.gaussfit_err
gaussspotfit	vlt.fits.gaussspotfit
gaussspotfit_mod	vlt.fits.gaussspotfit_mod
gaussspotfit_nk	vlt.fits.gaussspotfit_nk
gaussspotfit_nopos_surr	vlt.fits.gaussspotfit_nopos_surr
gaussspotfit_noposition	vlt.fits.gaussspotfit_noposition
gaussspotfit_skew	vlt.fits.gaussspotfit_skew
linepowerthreshold	vlt.fits.linepowerthreshold
linepowerthresholdfit	vlt.fits.linepowerthresholdfit
linethresholdfit	vlt.fits.linethresholdfit
naka_rushton	vlt.fits.naka_rushton
naka_rushton_err	vlt.fits.naka_rushton_err
naka_rushton_func	vlt.fits.naka_rushton_func
naka_rushton_slope	vlt.fits.naka_rushton_slope
otfit_carandini	vlt.fits.otfit_carandini
otfit_carandini0	vlt.fits.otfit_carandini0
otfit_carandini2	vlt.fits.otfit_carandini2
otfit_carandini_conv	vlt.fits.otfit_carandini_conv
otfit_carandini_conv0	vlt.fits.otfit_carandini_conv0
otfit_carandini_conv2	vlt.fits.otfit_carandini_conv2
otfit_carandini_err	vlt.fits.otfit_carandini_err
otfit_carandini_err0	vlt.fits.otfit_carandini_err0
otfit_carandini_err2	vlt.fits.otfit_carandini_err2
otfit_carandini_err_joint	vlt.fits.otfit_carandini_err_joint
seriesresfit	vlt.fits.seriesresfit
seriesresfit_err	vlt.fits.seriesresfit_err
sin4_fit	vlt.fits.sin4_fit
tanhfit	vlt.fits.tanhfit
tanhfitoffset	vlt.fits.tanhfitoffset
git_assert	vlt.git.git_assert
git_clone	vlt.git.git_clone
git_install	vlt.git.git_install
git_isgitdirectory	vlt.git.git_isgitdirectory
git_pull	vlt.git.git_pull
git_repo_version	vlt.git.git_repo_version
git_status	vlt.git.git_status
dependency_graph	vlt.graph.dependency_graph
mergegraph	vlt.graph.mergegraph
alumni_htmltable	vlt.html.alumni_htmltable
vhlab_people_html	vlt.html.vhlab_people_html
ROI_3d2dprojection	vlt.image.ROIs.ROI_3d2dprojection
ROI_3d_2dsummary	vlt.image.ROIs.ROI_3d_2dsummary
ROI_3d_all_overlaps	vlt.image.ROIs.ROI_3d_all_overlaps
ROI_3d_max_xy_size	vlt.image.ROIs.ROI_3d_max_xy_size
ROI_3d_overlap	vlt.image.ROIs.ROI_3d_overlap
ROI_3dplot2d	vlt.image.ROIs.ROI_3dplot2d
ROI_assignneighbors	vlt.image.ROIs.ROI_assignneighbors
ROI_centerofmassdistance	vlt.image.ROIs.ROI_centerofmassdistance
ROI_flare_indexes	vlt.image.ROIs.ROI_flare_indexes
ROI_flare_indexes_buggy	vlt.image.ROIs.ROI_flare_indexes_buggy
ROI_imageexample	vlt.image.ROIs.ROI_imageexample
ROI_isolate	vlt.image.ROIs.ROI_isolate
ROI_resegment	vlt.image.ROIs.ROI_resegment
ROI_resegment_all	vlt.image.ROIs.ROI_resegment_all
ROI_subset	vlt.image.ROIs.ROI_subset
driftcheck	vlt.image.driftcheck
findroiinlinescan	vlt.image.findroiinlinescan
image_samplepoints	vlt.image.image_samplepoints
image_samplerange	vlt.image.image_samplerange
image_viewer_gui	vlt.image.image_viewer_gui
imseq	vlt.image.imseq.imseq
imseq_matlab	vlt.image.imseq.imseq_matlab
imshift	vlt.image.imshift
inside_ellipse	vlt.image.inside_ellipse
invertcolors	vlt.image.invertcolors
linescan2rasterindex	vlt.image.linescan2rasterindex
medfilt_phase	vlt.image.medfilt_phase
mergeluts	vlt.image.mergeluts
neighborindexes	vlt.image.neighborindexes
padimage	vlt.image.padimage
plotrasterroionlinescan	vlt.image.plotrasterroionlinescan
polyflare	vlt.image.polyflare
regionprops_circularity	vlt.image.regionprops_circularity
saturation_image	vlt.image.saturation_image
scramblepixels_movie	vlt.image.scramblepixels_movie
tiff16bit28bit	vlt.image.tiff16bit28bit
xcorr2dlag	vlt.image.xcorr2dlag
angdiff	vlt.math.angdiff
angdiffwrap	vlt.math.angdiffwrap
angdiffwrapsign	vlt.math.angdiffwrapsign
asymmetric_gaussian	vlt.math.asymmetric_gaussian
cartesian2compass	vlt.math.cartesian2compass
cas	vlt.math.cas
center_of_mass	vlt.math.center_of_mass
clip	vlt.math.clip
cluster_points_gui	vlt.math.cluster_points_gui
compass2cartesian	vlt.math.compass2cartesian
complex2vector	vlt.math.complex2vector
cov_of_cloud	vlt.math.cov_of_cloud
dangdiffwrap	vlt.math.dangdiffwrap
deg2rad	vlt.math.deg2rad
dist2line	vlt.math.dist2line
divide_nozero	vlt.math.divide_nozero
double_exp	vlt.math.double_exp
double_gauss_180	vlt.math.double_gauss_180
double_gauss_DoG	vlt.math.double_gauss_DoG
double_gauss_dog_plot	vlt.math.double_gauss_dog_plot
double_gaussian_plot	vlt.math.double_gaussian_plot
ellipse_on_mvnpdf	vlt.math.ellipse_on_mvnpdf
ellipse_on_mvnpdf_nk_x0	vlt.math.ellipse_on_mvnpdf_nk_x0
ellipse_on_mvnpdf_nopos_surr_x0	vlt.math.ellipse_on_mvnpdf_nopos_surr_x0
ellipse_on_mvnpdf_noposition_x0	vlt.math.ellipse_on_mvnpdf_noposition_x0
ellipse_on_mvnpdf_x0	vlt.math.ellipse_on_mvnpdf_x0
ellipse_on_mvnskewpdf	vlt.math.ellipse_on_mvnskewpdf
ellipse_on_mvnskewpdf_x0	vlt.math.ellipse_on_mvnskewpdf_x0
eucnorm	vlt.math.eucnorm
floorfloor	vlt.math.floorfloor
fouriercoeffs	vlt.math.fouriercoeffs
fouriercoeffs_2d	vlt.math.fouriercoeffs_2d
fouriercoeffs_tf	vlt.math.fouriercoeffs_tf
fouriercoeffs_tf2	vlt.math.fouriercoeffs_tf2
fouriercoeffs_tf_spikes	vlt.math.fouriercoeffs_tf_spikes
gauss2d_ellipse	vlt.math.gauss2d_ellipse
generate_random_data	vlt.math.generate_random_data
autocorr_step_white_poles	vlt.math.identity_tests.autocorr_step_white_poles
autocorr_step_zeros	vlt.math.identity_tests.autocorr_step_zeros
geometric_identities_tests	vlt.math.identity_tests.geometric_identities_tests
inside	vlt.math.inside
insideorborder	vlt.math.insideorborder
interval2continuous	vlt.math.interval2continuous
interval_add	vlt.math.interval_add
interval_notation	vlt.math.interval_notation
interval_subtract	vlt.math.interval_subtract
intnchoosek	vlt.math.intnchoosek
linearize_complex_discrete	vlt.math.linearize_complex_discrete
local_max	vlt.math.local_max
magsqrt	vlt.math.magsqrt
meshgridarea	vlt.math.meshgridarea
mod_ellipse_on_mvnpdf	vlt.math.mod_ellipse_on_mvnpdf
mod_ellipse_on_mvnpdf_x0	vlt.math.mod_ellipse_on_mvnpdf_x0
mvnskewpdf	vlt.math.mvnskewpdf
normalizebounds	vlt.math.normalizebounds
oriented_grid	vlt.math.oriented_grid
phase_advance	vlt.math.phase_advance
prctile01	vlt.math.prctile01
prctile20	vlt.math.prctile20
ptontoline	vlt.math.ptontoline
ptontovector	vlt.math.ptontovector
pts2line	vlt.math.pts2line
rad2deg	vlt.math.rad2deg
rect2rect	vlt.math.rect2rect
rectify	vlt.math.rectify
refl2d	vlt.math.refl2d
rescale	vlt.math.rescale
rescale_subrect	vlt.math.rescale_subrect
rot2d	vlt.math.rot2d
rot3d	vlt.math.rot3d
sample_difference_error	vlt.math.sample_difference_error
scale2d	vlt.math.scale2d
single_gaussian_plot	vlt.math.single_gaussian_plot
slidingwindowfunc	vlt.math.slidingwindowfunc
slidingwindowfunc2	vlt.math.slidingwindowfunc2
stepfunc	vlt.math.stepfunc
isa_text	vlt.matlab.isa_text
matlabvers	vlt.matlab.matlabvers
cubeplot3d	vlt.matlab_graphics.cubeplot3d
getline_3dplane	vlt.matlab_graphics.getline_3dplane
grect2local	vlt.matlab_graphics.grect2local
isinwhere	vlt.matlab_graphics.isinwhere
normalized2pixels	vlt.matlab_graphics.normalized2pixels
pcolordummyrowcolumn	vlt.matlab_graphics.pcolordummyrowcolumn
pixels2normalized	vlt.matlab_graphics.pixels2normalized
savefigurelist	vlt.matlab_graphics.savefigurelist
selectpoints3d	vlt.matlab_graphics.selectpoints3d
viewpoint3dto2d	vlt.matlab_graphics.viewpoint3dto2d
calc_cluster_index	vlt.neuroscience.anatomy.calc_cluster_index
demo_illustrate_facespace_build	vlt.neuroscience.demos.demo_illustrate_facespace_build
nbio140_wholecell	vlt.neuroscience.demos.nbio140_wholecell
generate_normal_vm_fr	vlt.neuroscience.membrane_voltage.generate_normal_vm_fr
generate_poisson_vm_fr	vlt.neuroscience.membrane_voltage.generate_poisson_vm_fr
mle_normal_vm_fr	vlt.neuroscience.membrane_voltage.mle_normal_vm_fr
mle_poisson_vm_fr	vlt.neuroscience.membrane_voltage.mle_poisson_vm_fr
normal_vm_fr	vlt.neuroscience.membrane_voltage.normal_vm_fr
plot_voltage_firingrate_observations	vlt.neuroscience.membrane_voltage.plot_voltage_firingrate_observations
poisson_vm_fr	vlt.neuroscience.membrane_voltage.poisson_vm_fr
spikeFWHM	vlt.neuroscience.membrane_voltage.spikeFWHM
spikekink	vlt.neuroscience.membrane_voltage.spikekink
spikewavetrimmer	vlt.neuroscience.membrane_voltage.spikewavetrimmer
vmnospikes	vlt.neuroscience.membrane_voltage.vmnospikes
voltage_firingrate_observations	vlt.neuroscience.membrane_voltage.voltage_firingrate_observations
voltage_firingrate_observations_per_stimulus	vlt.neuroscience.membrane_voltage.voltage_firingrate_observations_per_stimulus
minidetection	vlt.neuroscience.minis.minidetection
minidetectionsimulation	vlt.neuroscience.minis.minidetectionsimulation
minitemplates	vlt.neuroscience.minis.minitemplates
MLE_PoisGauss	vlt.neuroscience.mledenoise.MLE_PoisGauss
SlowMLEDeNoise	vlt.neuroscience.mledenoise.SlowMLEDeNoise
MLE_Gauss	vlt.neuroscience.mledenoise.archived_code.MLE_Gauss
MLE_Pois	vlt.neuroscience.mledenoise.archived_code.MLE_Pois
slowdenoise	vlt.neuroscience.mledenoise.archived_code.slowdenoise
gaindriftexample	vlt.neuroscience.mledenoise.gaindriftexample
response_gaindrift_model	vlt.neuroscience.mledenoise.response_gaindrift_model
testSlowMLE	vlt.neuroscience.mledenoise.testSlowMLE
testSlowMLE_modulation	vlt.neuroscience.mledenoise.testSlowMLE_modulation
HHclass	vlt.neuroscience.models.hh.HHclass
HHsynclass	vlt.neuroscience.models.hh.HHsynclass
neuronmodelclass	vlt.neuroscience.models.hh.neuronmodelclass
modelel_init	vlt.neuroscience.models.modelel.modelel.modelel_init
modelel_reset	vlt.neuroscience.models.modelel.modelel.modelel_reset
directionselectivity4cell_learning1	vlt.neuroscience.models.modelel.modeleldemo.directionselectivity4cell_learning1
directionselectivity4cell_random	vlt.neuroscience.models.modelel.modeleldemo.directionselectivity4cell_random
directionselectivity4celldemo	vlt.neuroscience.models.modelel.modeleldemo.directionselectivity4celldemo
directionselectivityNcell_GsynAP	vlt.neuroscience.models.modelel.modeleldemo.directionselectivityNcell_GsynAP
directionselectivityNcell_learning1	vlt.neuroscience.models.modelel.modeleldemo.directionselectivityNcell_learning1
directionselectivityNcell_learning2	vlt.neuroscience.models.modelel.modeleldemo.directionselectivityNcell_learning2
directionselectivityNcell_learning_thresh	vlt.neuroscience.models.modelel.modeleldemo.directionselectivityNcell_learning_thresh
directionselectivityNcell_random	vlt.neuroscience.models.modelel.modeleldemo.directionselectivityNcell_random
directionselectivityNcelldemo	vlt.neuroscience.models.modelel.modeleldemo.directionselectivityNcelldemo
directionselectivityNcelldemo_inhib	vlt.neuroscience.models.modelel.modeleldemo.directionselectivityNcelldemo_inhib
directionselectivityNcelldemo_inhib_orig	vlt.neuroscience.models.modelel.modeleldemo.directionselectivityNcelldemo_inhib_orig
directionselectivityNcelldemo_thresh	vlt.neuroscience.models.modelel.modeleldemo.directionselectivityNcelldemo_thresh
intfireleaky_GsynAP	vlt.neuroscience.models.modelel.modeleldemo.intfireleaky_GsynAP
intfireleaky_Gsyn_vs_F	vlt.neuroscience.models.modelel.modeleldemo.intfireleaky_Gsyn_vs_F
intfireleaky_SynMemTau	vlt.neuroscience.models.modelel.modeleldemo.intfireleaky_SynMemTau
intfireleaky_currentdemo	vlt.neuroscience.models.modelel.modeleldemo.intfireleaky_currentdemo
intfireleaky_synapsedemo	vlt.neuroscience.models.modelel.modeleldemo.intfireleaky_synapsedemo
plotdirectionselectivity4cell	vlt.neuroscience.models.modelel.modeleldemo.plotdirectionselectivity4cell
plotdirectionselectivity4cell_thresh	vlt.neuroscience.models.modelel.modeleldemo.plotdirectionselectivity4cell_thresh
synapseel_stdpdemo	vlt.neuroscience.models.modelel.modeleldemo.synapseel_stdpdemo
modelel_convertforc	vlt.neuroscience.models.modelel.modelelrun.modelel_convertforc
modelel_convertfromc	vlt.neuroscience.models.modelel.modelelrun.modelel_convertfromc
modelel_importvariables	vlt.neuroscience.models.modelel.modelelrun.modelel_importvariables
modelel_runvarname2log	vlt.neuroscience.models.modelel.modelelrun.modelel_runvarname2log
modelelrun	vlt.neuroscience.models.modelel.modelelrun.modelelrun
modelelrun_executable	vlt.neuroscience.models.modelel.modelelrun.modelelrun_executable
intfireleakyel_init	vlt.neuroscience.models.modelel.neuronmodelel.intfiremodels.intfireleakyel_init
intfireleakyel_step	vlt.neuroscience.models.modelel.neuronmodelel.intfiremodels.intfireleakyel_step
isspiking	vlt.neuroscience.models.modelel.neuronmodelel.isspiking
neuronmodelel	vlt.neuroscience.models.modelel.neuronmodelel.neuronmodelel
spiketimelistel_init	vlt.neuroscience.models.modelel.neuronmodelel.spiketimelistel.spiketimelistel_init
spiketimelistel_step	vlt.neuroscience.models.modelel.neuronmodelel.spiketimelistel.spiketimelistel_step
modelelgetsyn	vlt.neuroscience.models.modelel.synapseel.modelelgetsyn
modelelsynconn	vlt.neuroscience.models.modelel.synapseel.modelelsynconn
synapseel_stdp	vlt.neuroscience.models.modelel.synapseel.plasticity_methods.synapseel_stdp
synapset1t2el_init	vlt.neuroscience.models.modelel.synapseel.synapset1t2el.synapset1t2el_init
synapset1t2el_step	vlt.neuroscience.models.modelel.synapseel.synapset1t2el.synapset1t2el_step
simpleodedemo	vlt.neuroscience.models.ode.simpleodedemo
depression_model_comp	vlt.neuroscience.models.synapses.depression_model_comp
depression_model_err	vlt.neuroscience.models.synapses.depression_model_err
depression_model_fit	vlt.neuroscience.models.synapses.depression_model_fit
nmda_voltage_gate	vlt.neuroscience.models.synapses.nmda_voltage_gate
probabilistic_release	vlt.neuroscience.models.synapses.probabilistic_release
createdirkernel	vlt.neuroscience.reverse_correlation.createdirkernel
DirRFModelTestCode	vlt.neuroscience.reverse_correlation.demos.DirRFModelTestCode
DirRFModel_example0	vlt.neuroscience.reverse_correlation.demos.DirRFModel_example0
DirRFModel_example1	vlt.neuroscience.reverse_correlation.demos.DirRFModel_example1
DirRFModel_example2	vlt.neuroscience.reverse_correlation.demos.DirRFModel_example2
DirRFModel_example3	vlt.neuroscience.reverse_correlation.demos.DirRFModel_example3
DirRFModel_example3_old	vlt.neuroscience.reverse_correlation.demos.DirRFModel_example3_old
RandomRDTestCode	vlt.neuroscience.reverse_correlation.demos.RandomRDTestCode
hartley_image	vlt.neuroscience.reverse_correlation.hartley.hartley_image
reverse_correlation_mv_stepfunc	vlt.neuroscience.reverse_correlation.reverse_correlation_mv_stepfunc
reverse_correlation_stepfunc	vlt.neuroscience.reverse_correlation.reverse_correlation_stepfunc
reverse_correlation_stepfunc_old	vlt.neuroscience.reverse_correlation.reverse_correlation_stepfunc_old
simulate_1dkernel_response	vlt.neuroscience.reverse_correlation.simulate_1dkernel_response
spike_triggered_average_stepfunc	vlt.neuroscience.reverse_correlation.spike_triggered_average_stepfunc
stim1d_motion	vlt.neuroscience.reverse_correlation.stim1d_motion
stim1d_random	vlt.neuroscience.reverse_correlation.stim1d_random
centerspikes_neg	vlt.neuroscience.spikesorting.centerspikes_neg
cluster_spikewaves_gui	vlt.neuroscience.spikesorting.cluster_spikewaves_gui
cluster_spikewaves_trivial	vlt.neuroscience.spikesorting.cluster_spikewaves_trivial
fitspike_neg	vlt.neuroscience.spikesorting.fitspike_neg
oversamplespikes	vlt.neuroscience.spikesorting.oversamplespikes
plotspikewaves	vlt.neuroscience.spikesorting.plotspikewaves
spikewaves2Npointfeature	vlt.neuroscience.spikesorting.spikewaves2Npointfeature
spikewaves2pca	vlt.neuroscience.spikesorting.spikewaves2pca
interspikeinterval	vlt.neuroscience.spiketrains.interspikeinterval
loglikelihood_spikerate	vlt.neuroscience.spiketrains.loglikelihood_spikerate
loglikelihood_spiketrain	vlt.neuroscience.spiketrains.loglikelihood_spiketrain
make_psth	vlt.neuroscience.spiketrains.make_psth
plot_psth	vlt.neuroscience.spiketrains.plot_psth
spikeresponse	vlt.neuroscience.spiketrains.spikeresponse
spikeresponse_tf	vlt.neuroscience.spiketrains.spikeresponse_tf
spiketimes2bins	vlt.neuroscience.spiketrains.spiketimes2bins
spiketimes_correlation	vlt.neuroscience.spiketrains.spiketimes_correlation
spiketimes_correlation_timeshiftsubtract	vlt.neuroscience.spiketrains.spiketimes_correlation_timeshiftsubtract
spiketimes_plot	vlt.neuroscience.spiketrains.spiketimes_plot
spiketrain2rate	vlt.neuroscience.spiketrains.spiketrain2rate
spiketrain_poisson_n	vlt.neuroscience.spiketrains.spiketrain_poisson_n
spiketrain_powerspectrum	vlt.neuroscience.spiketrains.spiketrain_powerspectrum
spiketrain_powerspectrum_window	vlt.neuroscience.spiketrains.spiketrain_powerspectrum_window
spiketrain_sinusoidal	vlt.neuroscience.spiketrains.spiketrain_sinusoidal
spiketrain_timingcorrelated	vlt.neuroscience.spiketrains.spiketrain_timingcorrelated
